site_id,species_code,lon,lat,stand_age_yr,MAP_original_mm,MAP_gridded_mm,planting_density_ha,root_deepening_rate_m_yr,max_rooting_depth_m,PET_mm,clay_pct,sand_pct,silt_pct,root_C_shallow_Mg_ha,root_C_deep_Mg_ha,SOC_deep_pct
6,100,107.68,35.22,5,580,587.4805298,833,0.96,4.8,1037.306452,21.14285714,41.42857143,37.42857143,0.03070155,0.36317268,0.96
5,101,107.7,35.23,5,446,528.9052124,833,1.6,8,990.2096774,21.14285714,41.42857143,37.42857143,0.087548101,0.119358679,1.6
12,100,107.67,35.2,8,580,603.4936523,737,1.25,10,1060.106452,21,34.14285714,44.85714286,0.596384068,1.357289489,1.25
11,101,106.77,35.87,8,446,528.9052124,833,1,8,990.2096774,21.14285714,41.42857143,37.42857143,0.393532659,0.135280101,1
17,100,107.67,35.2,11,580,603.4936523,1003,1.127272727,12.4,1064.635484,21,34.14285714,44.85714286,10.11211887,3.648788971,1.127272727
20,102,109.17,34.18,12,587,683.4620972,471,0.583333333,7,1187.058065,23.85714286,43,33.14285714,1.679641395,1.995071296,0.583333333
18,101,106.77,35.87,12,446,528.9052124,667,1,12,990.2096774,21.14285714,41.42857143,37.42857143,0.997537094,0.498462661,1
21,103,112.32,39.31,13,422,425.7210388,1264,1.076923077,14,1094.716129,20.42857143,42.14285714,37.42857143,5.7409319,0.988125525,1.076923077
23,104,110.15,34.54,15,587,643.3436279,889,0.586666667,8.8,1131.63871,25.57142857,37,37.42857143,1.670955522,0.499136046,0.586666667
22,100,107.67,35.2,15,580,603.4936523,829,1.306666667,19.6,1064.635484,21,34.14285714,44.85714286,1.903521924,5.532789187,1.306666667
24,100,109.39,36.66,15,531,550.1047363,638,1,15,1114.545161,21.14285714,41.42857143,37.42857143,0.725664802,0.501675243,1
27,106,109.39,36.66,16,531,550.1047363,423,1,16,1114.545161,21.14285714,41.42857143,37.42857143,0.585211075,1.012044146,1
25,105,111.8,36.38,16,478,504.2963562,1229,0.8375,13.4,1127.432258,21.14285714,41.42857143,37.42857143,1.576958899,0.296310585,0.8375
29,105,112.75,37.43,16,429,477.3762207,2068,1.375,22,1123.912903,21.14285714,41.42857143,37.42857143,7.680117492,4.765792185,1.375
30,108,112.75,37.43,16,429,606.9304199,467,0.75,12,1036.96129,21.14285714,41.42857143,37.42857143,1.318704682,1.346224279,0.75
31,106,110.15,34.54,17,587,643.3436279,401,0.870588235,14.8,1131.63871,25.57142857,37,37.42857143,0.294715028,1.548391745,0.870588235
32,105,109.39,36.66,17,531,550.1047363,775,1.176470588,20,1114.545161,21.14285714,41.42857143,37.42857143,1.442354679,3.056620647,1.176470588
33,105,109.39,36.66,17,531,445.6309814,2500,0.823529412,14,1110.1,20.42857143,42.14285714,37.42857143,2.156504409,1.09631194,0.823529412
34,100,107.57,35.72,18,580,603.4936523,793,1.266666667,22.8,1064.635484,21,34.14285714,44.85714286,3.671045416,7.557133508,1.266666667
28,107,111.1,35.38,18,518,545.1973877,1130,0.555555556,10,1209.277419,21.14285714,41.42857143,37.42857143,5.317818098,8.132040872,0.555555556
37,100,107.67,35.2,22,580,603.4936523,1166,1.090909091,24,1064.635484,21,34.14285714,44.85714286,9.390735631,9.4464543,1.090909091
39,100,109.39,36.66,23,531,550.1047363,1150,1.217391304,28,1114.545161,21.14285714,41.42857143,37.42857143,2.443557321,3.530247676,1.217391304
40,101,111.1,35.38,23,518,545.1973877,523,0.52173913,12,1209.277419,21.14285714,41.42857143,37.42857143,1.51134186,3.195025195,0.52173913
41,100,107.67,35.2,25,580,603.4936523,833,1,25,1064.635484,21,34.14285714,44.85714286,4.348711426,15.52286397,1
